"Día","Línea de Servicio","Hora de operación","","","","","","","","","","","","","","","","","","","",""
"","","4:00","5:00","6:00","7:00","8:00","9:00","10:00","11:00","12:00","13:00","14:00","15:00","16:00","17:00","18:00","19:00","20:00","21:00","22:00","23:00","Total general (Número de pasajeros)"
"06/01/2023","LÍNEA H","144.00 ","344.00 ","288.00 ","216.00 ","130 ","117 ","121 ","99 ","104 ","77 ","69 ","68 ","84 ","52 ","68.00 ","49.00 ","43.00 ","25.00 ","20.00 ","","2,118 "
"06/01/2023","LÍNEA J","895 ","1,755 ","1,893 ","1,492 ","1,117 ","848 ","723 ","747 ","752 ","701 ","666 ","168 ","822 ","592 ","601 ","461 ","327 ","192 ","71 ","28 ","14,851 "
"06/01/2023","LÍNEA K","1,841 ","2,635 ","2,528 ","2,014 ","1,489 ","1,320 ","1,147 ","1,238 ","1,363 ","1,314 ","1,220 ","1,320 ","1,522 ","1,286 ","1,019 ","793 ","643 ","354 ","120 ","2 ","25,168 "
"06/01/2023","LÍNEA L","","","","","","360 ","407 ","622 ","546 ","691 ","616 ","659 ","696 ","277 ","2 ","","","","","35 ","4,911 "
"06/01/2023","LÍNEA M","230 ","548 ","652 ","452 ","306 ","242 ","276 ","282 ","318 ","301 ","315 ","441 ","566 ","688 ","762 ","659 ","485 ","321 ","265 ","33 ","8,142 "
"06/01/2023","LÍNEA O","168 ","644 ","973 ","841 ","467 ","442 ","410 ","419 ","463 ","396 ","507 ","562 ","772 ","739 ","720 ","498 ","395 ","479 ","212 ","","10,107 "
"06/01/2023","LÍNEA P","878 ","1,890 ","2,244 ","1,583 ","962 ","760 ","751 ","673 ","750 ","660 ","679 ","661 ","767 ","676 ","735 ","609 ","469 ","255 ","111 ","9 ","16,122 "
"06/01/2023","LÍNEA T-A","934 ","2,337 ","2,987 ","2,720 ","2,021 ","1,759 ","1,815 ","1,992 ","2,030 ","1,868 ","2,208 ","2,626 ","3,248 ","3,682 ","3,596 ","2,590 ","1,930 ","1,502 ","1,119 ","","42,964 "
"07/01/2023","LÍNEA 1","1,836 ","3,820 ","4,673 ","5,043 ","3,945 ","3,535 ","3,456 ","3,745 ","4,608 ","4,376 ","4,731 ","4,226 ","4,177 ","3,937 ","4,005 ","3,555 ","2,875 ","2,629 ","1,623 ","47 ","70,842 "
"07/01/2023","LÍNEA 2","94 ","397 ","480 ","570 ","513 ","583 ","623 ","817 ","875 ","831 ","803 ","759 ","787 ","813 ","816 ","741 ","496 ","354 ","163 ","16 ","11,531 "
"07/01/2023","LÍNEA A","10,368 ","20,947 ","25,654 ","24,054 ","19,599 ","18,843 ","19,896 ","22,881 ","31,984 ","30,921 ","33,373 ","28,277 ","28,337 ","28,537 ","27,997 ","24,755 ","19,671 ","18,625 ","11,077 ","2 ","445,798 "
"07/01/2023","LÍNEA B","1,904 ","3,422 ","4,073 ","3,958 ","3,509 ","3,447 ","3,706 ","4,050 ","4,951 ","4,786 ","5,022 ","4,727 ","4,730 ","5,228 ","4,825 ","4,040 ","2,654 ","1,809 ","907 ","3 ","71,751 "
"07/01/2023","LÍNEA H","131.00 ","249.00 ","223.00 ","170.00 ","157 ","128 ","109 ","120 ","95 ","72 ","80 ","75 ","91 ","69 ","87 ","95.00 ","48.00 ","23.00 ","9.00 ","","2,031 "
"07/01/2023","LÍNEA J","737 ","1,241 ","1,374 ","1,361 ","1,041 ","793 ","843 ","860 ","920 ","707 ","696 ","662 ","675 ","649 ","859 ","639 ","395 ","184 ","61 ","40 ","14,737 "
"07/01/2023","LÍNEA K","1,491 ","2,127 ","2,082 ","1,829 ","1,336 ","1,149 ","1,073 ","1,258 ","1,381 ","1,187 ","1,295 ","1,281 ","1,180 ","1,360 ","1,475 ","1,189 ","804 ","404 ","121 ","6 ","24,028 "
"07/01/2023","LÍNEA L","","","","","5 ","484 ","514 ","679 ","883 ","686 ","758 ","218 ","813 ","552 ","","","","","","65 ","5,657 "
"07/01/2023","LÍNEA M","197 ","427 ","515 ","449 ","306 ","254 ","259 ","276 ","423 ","451 ","485 ","563 ","500 ","446 ","464 ","469 ","359 ","334 ","216 ","50 ","7,443 "
"07/01/2023","LÍNEA O","143 ","519 ","601 ","611 ","484 ","396 ","400 ","484 ","426 ","150 ","152 ","129 ","191 ","331 ","489 ","405 ","316 ","388 ","164 ","","6,779 "
"07/01/2023","LÍNEA P","745 ","1,334 ","1,390 ","1,261 ","827 ","706 ","732 ","667 ","792 ","750 ","768 ","688 ","741 ","659 ","779 ","753 ","585 ","320 ","86 ","9 ","14,592 "
"07/01/2023","LÍNEA T-A","799 ","1,799 ","2,191 ","2,235 ","1,742 ","1,622 ","1,647 ","1,939 ","2,389 ","2,391 ","2,547 ","2,445 ","2,522 ","2,488 ","2,456 ","1,976 ","1,672 ","1,479 ","1,006 ","3 ","37,348 "
"08/01/2023","LÍNEA 1","425 ","1,445 ","1,621 ","1,761 ","1,716 ","2,090 ","2,388 ","2,218 ","2,477 ","2,771 ","2,940 ","2,937 ","3,017 ","3,935 ","3,816 ","2,900 ","2,753 ","1,904 ","404 ","72 ","43,590 "
"08/01/2023","LÍNEA 2","10 ","173 ","157 ","181 ","165 ","300 ","357 ","319 ","573 ","480 ","394 ","444 ","406 ","560 ","643 ","468 ","382 ","184 ","29 ","15 ","6,240 "
"08/01/2023","LÍNEA A","3,209 ","9,198 ","10,729 ","10,169 ","10,314 ","12,098 ","14,515 ","14,929 ","16,069 ","18,594 ","19,858 ","20,410 ","21,380 ","14,171 ","25,162 ","20,869 ","19,182 ","17,784 ","3,034 ","3 ","281,677 "
"08/01/2023","LÍNEA B","558 ","1,416 ","1,658 ","1,698 ","2,086 ","2,518 ","2,683 ","2,821 ","3,501 ","3,674 ","4,129 ","4,047 ","4,740 ","3,592 ","4,942 ","3,969 ","2,588 ","1,914 ","338 ","2 ","52,874 "
"08/01/2023","LÍNEA H","","","","","6 ","109 ","101 ","86 ","51 ","63 ","62 ","80 ","101 ","82 ","128.00 ","74.00 ","57.00 ","50.00 ","1.00 ","","1,051 "
"08/01/2023","LÍNEA J","","","","","","878 ","697 ","825 ","648 ","761 ","656 ","835 ","831 ","802 ","955 ","797 ","462 ","253 ","8 ","69 ","9,477 "
"08/01/2023","LÍNEA K","","1 ","2 ","","506 ","1,130 ","1,029 ","1,034 ","1,272 ","1,347 ","1,367 ","1,521 ","1,692 ","1,840 ","1,580 ","1,192 ","764 ","424 ","28 ","1 ","16,730 "
"08/01/2023","LÍNEA L","","","","","176 ","491 ","846 ","972 ","1,047 ","1,101 ","727 ","741 ","874 ","639 ","3 ","","","","","63 ","7,680 "
"08/01/2023","LÍNEA M","","","","","","270 ","249 ","287 ","291 ","322 ","378 ","488 ","440 ","377 ","468 ","434 ","379 ","359 ","127 ","49 ","4,918 "
"08/01/2023","LÍNEA O","31 ","239 ","271 ","243 ","206 ","234 ","324 ","297 ","278 ","254 ","336 ","274 ","335 ","487 ","422 ","320 ","339 ","306 ","55 ","4 ","5,255 "
"08/01/2023","LÍNEA P","","","","","72 ","601 ","621 ","637 ","721 ","696 ","676 ","863 ","903 ","742 ","1,026 ","777 ","512 ","340 ","22 ","9 ","9,218 "
"08/01/2023","LÍNEA T-A","144 ","660 ","789 ","754 ","899 ","1,169 ","1,340 ","1,368 ","1,526 ","1,614 ","1,914 ","1,966 ","2,169 ","1,586 ","2,091 ","1,774 ","1,707 ","1,522 ","482 ","1 ","25,475 "
"09/01/2023","LÍNEA 1","427 ","1,601 ","1,646 ","1,716 ","1,423 ","1,699 ","1,937 ","2,045 ","1,992 ","2,029 ","2,450 ","2,545 ","2,663 ","2,795 ","2,866 ","2,567 ","2,379 ","1,255 ","161 ","","36,196 "
"09/01/2023","LÍNEA 2","10 ","186 ","197 ","239 ","155 ","261 ","286 ","266 ","290 ","302 ","313 ","355 ","382 ","405 ","505 ","410 ","291 ","171 ","17 ","","5,041 "
"09/01/2023","LÍNEA A","3,500.00 ","9,633.00 ","10,682.00 ","9,646.00 ","8,721 ","9,574 ","11,678 ","12,811 ","13,141 ","13,599 ","16,174 ","16,781 ","18,345 ","20,206 ","20,555 ","17,125 ","15,486 ","12,861 ","1,246 ","","241,764 "
"09/01/2023","LÍNEA B","574.00 ","1,552.00 ","1,729.00 ","1,611.00 ","1,466 ","1,926 ","2,252 ","2,686 ","2,874 ","2,800 ","3,050 ","3,074 ","3,521 ","3,749 ","3,651 ","2,801 ","2,066 ","1,459 ","174 ","","43,015 "
"09/01/2023","LÍNEA H","","","","","3 ","88 ","86 ","79 ","85 ","68 ","54 ","60 ","83 ","55 ","46.00 ","65.00 ","31.00 ","8.00 ","1.00 ","","812 "
"09/01/2023","LÍNEA J","","","","","18 ","628 ","435 ","629 ","528 ","505 ","501 ","564 ","718 ","621 ","758 ","580 ","406 ","170 ","5 ","","7,066 "
"09/01/2023","LÍNEA K","","","","","414 ","789 ","915 ","943 ","995 ","937 ","1,068 ","1,228 ","1,486 ","1,386 ","1,189 ","938 ","613 ","314 ","15 ","","13,230 "
"09/01/2023","LÍNEA L","","","","","174 ","319 ","576 ","650 ","744 ","581 ","625 ","646 ","655 ","467 ","","","","","","","5,437 "
